event_title,category,department,target_year,capacity,location,date,time,event_tags,success_rate,actual_success_rate,actual_attendees,actual_engagement,actual_sentiment
Machine Learning Talk,Sports,Management,2,315,Auditorium,2024-11-09,11:00,"badminton, cricket",36.0,,,,
Ethical Hacking Workshop,Sports,Computer,2,347,Seminar Room,2024-09-22,09:00,"football, basketball",80.0,,,,
Elevator Pitch,Professional,Computer,2,57,Virtual,2024-08-09,13:30,"resume, career",85.0,,,,
Math Olympiad,Technology,Science,2,80,Main Hall,2024-08-12,14:00,"cloud, code",65.0,,,,
Robotics Expo,Technology,Civil,4,381,Open Ground,2024-10-31,19:00,"cloud, web",94.0,,,,
LinkedIn Mastery,Academic,Civil,4,233,Virtual,2024-07-25,17:00,"quiz, physics",35.0,,,,
Cultural Fest,Professional,Mechanical,3,188,Open Ground,2024-10-11,13:30,"startup, linkedin",72.0,,,,
Cloud Computing 101,Technology,Science,4,372,Seminar Room,2024-09-09,14:00,"ai, tech",37.0,,,,
Product Management,Academic,Electrical,1,335,Open Ground,2024-10-13,15:00,"english, chemistry",32.0,,,,
Marathon,Professional,Science,3,124,Main Hall,2024-11-21,11:00,"resume, networking",67.0,,,,
Internship Panel,Academic,Civil,1,124,Virtual,2024-07-22,14:00,"quiz, math",65.0,,,,
Resume Review,Cultural,Electrical,3,332,Open Ground,2024-08-13,14:00,"dance, culture",74.0,,,,
Physics Olympiad,Academic,Computer,2,78,Open Ground,2024-08-27,15:00,"quiz, chemistry",83.0,,,,
Festive Gala,Technology,Computer,3,86,Virtual,2024-08-15,15:00,"code, data",37.0,,,,
Art & Craft,Technology,Mechanical,1,256,Main Hall,2024-07-23,10:30,"ai, web",42.0,,,,
Ethical Hacking Workshop,Professional,Science,4,202,Open Ground,2024-10-09,16:00,"career, resume",70.0,,,,
Street Play,Professional,Science,2,260,Auditorium,2024-10-17,19:00,"networking, career",66.0,,,,
Web Dev Basics,Sports,Science,4,369,Open Ground,2024-09-23,13:30,"basketball, badminton",94.0,,,,
Startup Bootcamp,Professional,Computer,2,149,Seminar Room,2024-10-07,09:00,"linkedin, resume",30.0,,,,
Table Tennis Tournament,Technology,Science,1,308,Open Ground,2024-08-30,17:00,"cloud, web",80.0,,,,
Industry Talk,Academic,Management,4,216,Open Ground,2024-11-19,12:00,"english, science",69.0,,,,
Robotics Expo,Technology,Electrical,1,59,Virtual,2024-07-01,14:00,"web, ai",86.0,,,,
AI Workshop,Technology,Civil,2,259,Auditorium,2024-07-30,17:00,"ai, cloud",69.0,,,,
Tug of War,Cultural,Mechanical,2,109,Open Ground,2024-07-12,14:00,"culture, fashion",49.0,,,,
Open Mic Night,Cultural,Civil,4,358,Main Hall,2024-08-09,09:00,"dance, fashion",57.0,,,,
Data Science Panel,Technology,Science,1,381,Seminar Room,2024-07-22,13:30,"web, ml",76.0,,,,
Robotics Expo,Sports,Civil,2,54,Main Hall,2024-12-28,10:30,"basketball, cricket",84.0,,,,
Fashion Show,Technology,Mechanical,4,301,Seminar Room,2024-08-01,13:30,"ml, code",99.0,,,,
Ethical Hacking Workshop,Sports,Science,4,324,Auditorium,2024-09-11,17:00,"sports, football",72.0,,,,
Elevator Pitch,Sports,Science,2,212,Open Ground,2024-12-23,11:00,"basketball, cricket",63.0,,,,
Robotics Expo,Professional,Civil,1,315,Open Ground,2024-07-10,15:00,"resume, networking",39.0,,,,
Festive Gala,Sports,Electrical,2,164,Main Hall,2024-11-10,17:00,"cricket, football",72.0,,,,
Elevator Pitch,Sports,Management,3,337,Main Hall,2024-07-22,15:00,"cricket, sports",77.0,,,,
Blockchain Basics,Academic,Science,1,149,Auditorium,2024-07-24,10:30,"chemistry, quiz",56.0,,,,
Environmental Quiz,Sports,Science,2,330,Virtual,2024-12-18,16:00,"football, cricket",39.0,,,,
Festive Gala,Cultural,Civil,2,165,Virtual,2024-10-07,11:00,"music, drama",63.0,,,,
Dance Battle,Professional,Electrical,4,367,Auditorium,2024-07-18,09:00,"startup, career",47.0,,,,
Django Workshop,Sports,Mechanical,4,355,Virtual,2024-12-03,10:30,"sports, cricket",52.0,,,,
Fashion Show,Sports,Civil,4,149,Open Ground,2024-09-07,13:30,"football, cricket",41.0,,,,
Hackathon,Professional,Mechanical,3,315,Main Hall,2024-08-01,17:00,"networking, startup",64.0,,,,
Startup Stories,Technology,Computer,4,273,Virtual,2024-11-23,12:00,"web, code",85.0,,,,
Cloud Computing 101,Sports,Management,3,354,Seminar Room,2024-08-05,13:30,"cricket, badminton",98.0,,,,
Cloud Computing 101,Professional,Science,4,369,Seminar Room,2024-08-16,15:00,"resume, startup",59.0,,,,
English Debate,Academic,Computer,2,77,Seminar Room,2024-10-09,17:00,"physics, english",34.0,,,,
Robotics Expo,Academic,Management,3,395,Main Hall,2024-12-14,12:00,"science, quiz",69.0,,,,
Machine Learning Talk,Academic,Computer,3,270,Virtual,2024-12-18,18:30,"physics, quiz",94.0,,,,
Career Fair,Sports,Computer,4,384,Auditorium,2024-12-17,17:00,"football, cricket",51.0,,,,
Street Play,Professional,Electrical,1,105,Virtual,2024-07-12,16:00,"career, resume",63.0,,,,
Fashion Show,Academic,Science,4,79,Main Hall,2024-09-04,14:00,"quiz, math",81.0,,,,
Startup Bootcamp,Sports,Electrical,3,121,Main Hall,2024-11-16,12:00,"football, sports",86.0,,,,
Startup Bootcamp,Sports,Science,3,58,Open Ground,2024-10-23,14:00,"football, basketball",66.0,,,,
Resume Review,Cultural,Computer,4,244,Virtual,2024-11-19,19:00,"drama, culture",65.0,,,,
Event1,technology,computer science,,800,Eng. Auditorium,2025-07-15,22:45:00,,,,2.0,,
Event2,cultural,science,2nd year,800,Eng. Auditorium,2025-07-16,23:53:00,,,,2.0,,
Event3,academic,business,3rd year,700,Eng. Auditorium,2025-07-17,14:00:00,,,,2.0,,
Event4,workshop,arts,2nd year,700,Eng. Auditorium,2025-07-17,22:12:00,"ai,ml",,,2.0,,
Event5,professional,arts,3rd year,400,Eng. Auditorium,2025-07-31,14:15:00,,,,7.0,0.0,
Event6,professional,all departments,all years,1000,Eng. Auditorium,2025-07-31,14:19:00,,,,8.0,0.0,
Event7,academic,arts,all years,850,Eng. Auditorium,2025-07-21,22:29:00,,,,2.0,,
Event8,sports,all departments,1st year,450,Eng. Auditorium,2025-07-24,13:30:00,,,,2.0,,
Event10,academic,business,3rd year,785,Eng. Auditorium,2025-07-26,12:38:00,,,,4.0,,
AI Innovation Summit,Tech,Computer Engineering,,100,,2025-08-10,,,,,9.0,1.0,
AI & Machine Learning Workshop,Technology,Computer Engineering,2nd year,150,Eng. Auditorium,2025-07-15,22:12:00,,,,5.0,,
Cultural Diversity Festival,Cultural,,,350,,2025-07-20,,,,,2.0,,
made by new organizer,Hackathon,All,2nd year,134,kjh,2025-08-10,22:12:00,ai,,,8.0,0.0,
Hey,professional,science,3rd year,45,lkj,1111-11-11,11:11:00,"gh,fgh",,,0.0,,
Before today event,seminar,business,3rd year,51,Eng. Auditorium,2025-07-25,10:10:00,"mk,gh",,50.0,50.0,50.0,positive
Freshers' Night,cultural,computer science,1st year,300,Auditorium,2025-08-20,18:30:00,"fresher,welcome",4.67,14,3.0,neutral
Cricket Tournament,sports,arts,3rd year,200,Open Ground,2024-12-05,09:00:00,"cricket,sports",7.0,14,4.0,neutral
Entrepreneurship Summit,professional,business,4th year,200,Auditorium,2024-10-20,09:00:00,"entrepreneurship,startup",7.0,14,0.0,neutral
